id,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,Hardness
0,100.0,0.8416109999999999,10.0,4.8,20.6125257,11.0881,2.766,1.732,0.86,0.4960699999999999,0.91457,6.0
1,100.0,7.558488,10.0,4.8,20.2988926326,12.04083,2.755,1.6309999999999998,0.91,0.492719,0.7176,6.5
2,76.0,8.885992,15.6,5.6,33.739258,12.0863,2.8280000000000003,1.7880000000000005,0.8640000000000001,0.481478,1.50633,2.5
3,100.0,8.795296,10.0,4.8,20.213348778,10.9485,2.648,1.626,0.936,0.489272,0.78937,6.0
4,116.0,9.577996,11.6,4.8,24.988133138,11.82448,2.766,1.682,0.8959999999999999,0.4927359999999999,1.86481,6.0
5,131.0,24.529328,21.83333333333333,4.666666666666667,50.1315,11.9482,2.858333333333333,1.7583333333333335,0.8966666666666668,0.4663883333333334,2.94712,6.0
6,50.0,3.253996,10.0,4.8,20.077018,11.023840000000002,2.727,1.767,0.8800000000000001,0.49901,0.80631,2.0
7,30.0,2.70174775,6.0,4.0,11.663548,12.41584,2.766,1.495,0.71,0.6184925,0.41631,4.0
8,120.0,14.632,12.0,4.8,24.808518,11.33182,2.87,1.7185,0.91,0.4927359999999999,1.96268,6.0
9,97.0,13.477328,12.8125,5.0,24.98813313725,11.037175,2.81875,1.60125,0.88125,0.4931925,1.10889,5.8
10,72.0,6.697992,8.0,4.6,16.862137999999998,11.79886,2.648,1.626,0.912,0.498984,0.74322,6.0
11,136.0,8.109328,11.0,4.333333333333333,22.68885333333333,12.874275000000004,2.1466666666666665,1.7133333333333336,0.92,0.4990741666666666,0.75585,5.5
12,14.0,4.673996,14.0,4.0,31.574635600000004,9.8771,2.115,1.925,1.12,0.4776649999999999,1.8288,2.0
13,74.0,14.22,14.0,4.0,24.789618,9.8771,2.115,1.905,1.12,0.49897,1.3513,6.0
14,105.0,5.203996,10.0,4.8,20.3920334,11.46526,2.752,1.7880000000000005,0.946,0.481478,0.81244,3.5
15,126.0,13.35,15.6,4.4,33.739258,10.73364,2.694,1.925,0.928,0.489272,1.96268,6.0
