PARAMS: {'dataset': 'diabetes', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.29506833036244806,0.29506833036244806,30,[0.12410297173003687, [8, 6, 5, 3], 512, [0.21523930231214905, 0.2766614281866704, 0.47541013932037834, 0.0724702726613814], ['relu', 'linear', 'relu', 'linear'], 0.8813947897437737]
1,0.2674538792185851,0.2674538792185851,18,[0.963041852971595, [3, 8], 256, [0.45103943952992664, 0.45103943952992664], ['leaky_relu', 'leaky_relu'], 0.6924296552841608]
2,0.2352053943749446,0.2352053943749446,85,[0.3213500719596852, [8], 2, [0.45103943952992664], ['leaky_relu'], 0.9824561025143452]
3,0.2366255144032923,0.23662551440329227,78,[0.3213500719596852, [8], 2, [0.45103943952992664], ['leaky_relu'], 0.9824561025143452]
4,0.22533214859947526,0.22533214859947526,75,[0.3213500719596852, [8], 2, [0.45103943952992664], ['leaky_relu'], 0.9824561025143452]
5,0.2267793831243704,0.2267793831243704,83,[0.4287662934265037, [8], 2, [0.45103943952992664], ['softplus'], 0.9824561025143452]
6,0.1916979063598906,0.1916979063598906,22,[0.4287662934265037, [8], 2, [0.45103943952992664], ['linear'], 0.8813947897437737]
7,0.21453137889459994,0.21453137889459994,27,[0.7422952691264141, [8], 2, [0.45103943952992664], ['linear'], 0.8813947897437737]
8,0.2132513135973343,0.2132513135973343,23,[0.9896498634754435, [8], 2, [0.43891742143837037], ['linear'], 0.8813947897437737]
9,0.20848725963815484,0.20848725963815484,145,[0.8587562179295097, [8], 2, [0.26283718612904383], ['linear'], 0.9824561025143452]
10,0.2098902271574704,0.2098902271574704,73,[0.8587562179295097, [8], 2, [0.26283718612904383], ['linear'], 0.9824561025143452]
11,0.19690367729583413,0.19690367729583413,121,[0.8587562179295097, [8], 2, [0.26283718612904383], ['linear'], 0.9824561025143452]
12,0.1977690718758609,0.1977690718758609,211,[0.8587562179295097, [8], 2, [0.45103943952992664], ['linear'], 0.9824561025143452]
13,0.1977690718758609,0.1977690718758609,125,[0.8587562179295097, [8], 2, [0.26283718612904383], ['linear'], 0.9824561025143452]
14,0.1889319830496301,0.1889319830496301,94,[0.8587562179295097, [8], 2, [0.26283718612904383], ['linear'], 0.9824561025143452]
15,0.17847736109369128,0.17847736109369128,28,[0.9896498634754435, [8], 2, [0.3934573558758229], ['linear'], 0.9277188418580596]
16,0.2022212257506375,0.2022212257506375,105,[0.7767899152103248, [8], 2, [0.45103943952992664], ['linear'], 0.9824561025143452]
17,0.1977690718758609,0.1977690718758609,193,[0.6402197453296733, [8], 2, [0.45103943952992664], ['linear'], 0.9824561025143452]
18,0.18412982553959478,0.18412982553959478,36,[0.9896498634754435, [8], 2, [0.018412375833031958], ['linear'], 0.9536329350232907]
19,0.196078431372549,0.196078431372549,90,[0.6402197453296733, [8], 2, [0.45103943952992664], ['linear'], 0.9824561025143452]

EVOLUTION ENDED

Optimal genes: [0.9896498634754435, [8], 2, [0.3934573558758229], ['linear'], 0.9277188418580596]           
Optimal fitness: 0.17847736109369128                 
