PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.0005153047386556864,0.0005153047386556864,8,[0.9553983660041175, [3], 64, [0.4414045570128587], ['leaky_relu'], 0.9012032412784887]
1,0.00048195375711657107,0.00048195375711657107,25,[0.9553983660041175, [3], 64, [0.4414045570128587], ['leaky_relu'], 0.9012032412784887]
2,0.0005012522451579571,0.0005012522451579571,21,[0.9553983660041175, [3], 64, [0.4414045570128587], ['leaky_relu'], 0.9012032412784887]
3,0.0004873729485552758,0.0004873729485552758,13,[0.3749438638670881, [3, 5], 8, [0.3301215432594358, 0.48216369140335574], ['leaky_relu', 'leaky_relu'], 0.8707695226884624]
4,0.0004815052670892328,0.0004815052670892328,75,[0.18171532120503875, [8, 6], 4, [0.454402540630702, 0.37211788692800213], ['leaky_relu', 'leaky_relu'], 0.9719139285474543]
5,0.0004689627676270902,0.0004689627676270902,11,[0.358308252850102, [3], 64, [0.454402540630702], ['leaky_relu'], 0.8725885675512154]
6,0.00048380374209955335,0.00048380374209955335,5,[0.0884069395166052, [2, 7], 8, [0.334029676179261, 0.3225729293102421], ['softplus', 'softplus'], 0.8951552340948271]
7,0.0004706091422121972,0.0004706091422121972,181,[0.3749438638670881, [3, 7], 4, [0.38337077599902647, 0.03579449819560876], ['linear', 'linear'], 0.954988170562904]
8,0.00046835161629132926,0.00046835161629132926,39,[0.004784964993609935, [2, 7], 4, [0.454402540630702, 0.37211788692800213], ['leaky_relu', 'leaky_relu'], 0.9719139285474543]
9,0.00044857541797682643,0.00044857541797682643,106,[0.0567459132382973, [3], 4, [0.011294524688932939], ['relu'], 0.9791011280671502]
10,0.0004650080809369683,0.0004650080809369683,160,[0.3749438638670881, [3, 7], 4, [0.38337077599902647, 0.03579449819560876], ['linear', 'linear'], 0.954988170562904]
11,0.00045756250619888306,0.00045756250619888306,40,[0.18171532120503875, [6, 7], 4, [0.38337077599902647, 0.03579449819560876], ['linear', 'linear'], 0.954988170562904]
12,0.0004664859443437308,0.0004664859443437308,3,[0.11997870766838171, [3], 4, [0.12109209192443532], ['linear'], 0.954988170562904]
13,0.00046677919453941286,0.00046677919453941286,33,[0.3749438638670881, [2], 4, [0.12109209192443532], ['linear'], 0.954988170562904]
14,0.0004648508329410106,0.0004648508329410106,14,[0.0567459132382973, [6, 6], 4, [0.22833006717233056, 0.21490589357530437], ['linear', 'linear'], 0.954988170562904]
15,0.00046853828825987875,0.00046853828825987875,108,[0.3749438638670881, [3, 7], 4, [0.38337077599902647, 0.03579449819560876], ['linear', 'linear'], 0.954988170562904]
16,0.0004631590854842216,0.0004631590854842216,14,[0.0567459132382973, [4, 7], 2, [0.015357520625097598, 0.23085019795859896], ['linear', 'leaky_relu'], 0.9540329099435659]
17,0.0004670121124945581,0.0004670121124945581,13,[0.0567459132382973, [4, 7], 2, [0.015357520625097598, 0.23085019795859896], ['linear', 'leaky_relu'], 0.9540329099435659]
18,0.00046203090460039675,0.00046203090460039675,44,[0.0567459132382973, [4, 7], 2, [0.015357520625097598, 0.23085019795859896], ['linear', 'linear'], 0.9927308203440676]
19,0.000462960364529863,0.000462960364529863,29,[0.0567459132382973, [4, 7], 2, [0.015357520625097598, 0.23085019795859896], ['linear', 'linear'], 0.9927308203440676]

EVOLUTION ENDED

Optimal genes: [0.0567459132382973, [3], 4, [0.011294524688932939], ['relu'], 0.9791011280671502]           
Optimal fitness: 0.00044857541797682643                 
