PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.0012025067117065191,0.0012025067117065191,3,[0.27417693409518107, [3, 5, 4, 5, 8, 4], 128, [0.4971294162773263, 0.148971582099384, 0.4616650856258932, 0.2553012164120135, 0.1994229310761697, 0.19270899013313536], ['softplus', 'relu', 'linear', 'relu', 'leaky_relu', 'softplus'], 0.5036931358776262]
1,0.001124449074268341,0.001124449074268341,26,[0.1309798468243009, [3, 3, 7, 3, 5], 32, [0.4468273311154705, 0.498717978687037, 0.3249523144347504, 0.039786319635211675, 0.07307739993965973], ['softplus', 'softplus', 'softplus', 'linear', 'softplus'], 0.9615067904326128]
2,0.001362663577310741,0.001362663577310741,21,[0.10739425169139108, [5, 2, 3, 3, 7], 8, [0.06678714914412925, 0.252538246309336, 0.11484750227592272, 0.24778688180095043, 0.3897742838373131], ['softplus', 'relu', 'leaky_relu', 'linear', 'softplus'], 0.8430235317822048]
3,0.0013626605505123734,0.0013626605505123734,7,[0.10739425169139108, [5, 2, 3, 3, 7], 4, [0.06678714914412925, 0.252538246309336, 0.11484750227592272, 0.24778688180095043, 0.3897742838373131], ['softplus', 'relu', 'linear', 'relu', 'leaky_relu'], 0.5036931358776262]
4,0.0013627030421048403,0.0013627030421048403,4,[0.10739425169139108, [5, 2, 3, 3, 7], 4, [0.06678714914412925, 0.252538246309336, 0.11484750227592272, 0.24778688180095043, 0.3897742838373131], ['softplus', 'relu', 'linear', 'relu', 'leaky_relu'], 0.5036931358776262]
5,0.0006564146024174988,0.0006564146024174988,7,[0.13157622389132298, [2, 5, 7, 5], 32, [0.19796650752791356, 0.28820608185243246, 0.02741590261451693, 0.36340978646614497], ['softplus', 'softplus', 'softplus', 'relu'], 0.645701904851718]
6,0.001255940878763795,0.001255940878763795,32,[0.13157622389132298, [2, 5, 7, 5], 32, [0.19796650752791356, 0.28820608185243246, 0.02741590261451693, 0.36340978646614497], ['softplus', 'softplus', 'relu', 'linear'], 0.9078232451691701]
7,0.0013626517029479146,0.0013626517029479146,57,[0.7433770672463746, [6, 2, 5, 4, 7, 5, 2], 512, [0.25282399775880526, 0.03403944679569698, 0.2626927735061236, 0.07849171321482423, 0.466017704013921, 0.40528245145578723, 0.007246138578108963], ['softplus', 'relu', 'leaky_relu', 'linear', 'softplus', 'softplus', 'softplus'], 0.9886213407385173]
8,0.0013008789392188191,0.0013008789392188191,191,[0.13157622389132298, [3, 4, 3, 5], 16, [0.09609077718153008, 0.02589278385926419, 0.17506115686405188, 0.028806018056367733], ['softplus', 'relu', 'leaky_relu', 'linear'], 0.9886213407385173]
9,0.0013139985967427492,0.0013139985967427492,16,[0.10739425169139108, [5, 2, 3, 3, 7], 64, [0.29841054605058104, 0.3280769712217872, 0.4293401303127494, 0.28605621462188024, 0.2849834008221047], ['linear', 'linear', 'relu', 'leaky_relu', 'relu'], 0.9886213407385173]
10,0.0013570429291576147,0.0013570429291576147,44,[0.13157622389132298, [3, 4, 3, 5], 16, [0.09609077718153008, 0.02589278385926419, 0.17506115686405188, 0.028806018056367733], ['softplus', 'relu', 'leaky_relu', 'linear'], 0.9886213407385173]
11,0.0013136531924828887,0.0013136531924828887,7,[0.10739425169139108, [5, 2, 3, 3, 7], 64, [0.29841054605058104, 0.3280769712217872, 0.4293401303127494, 0.28605621462188024, 0.2849834008221047], ['linear', 'linear', 'relu', 'leaky_relu', 'relu'], 0.9886213407385173]
12,0.0009429750498384237,0.0009429750498384237,6,[0.13157622389132298, [3, 3, 5, 8, 5], 64, [0.46699520761368657, 0.06214135380157931, 0.3287435352701973, 0.027302790092393447, 0.2172404340642426], ['linear', 'linear', 'softplus', 'relu', 'relu'], 0.5080158415426386]
13,0.0008663364569656551,0.0008663364569656551,1,[0.13157622389132298, [3, 4, 3, 5], 16, [0.09609077718153008, 0.02589278385926419, 0.17506115686405188, 0.028806018056367733], ['softplus', 'relu', 'leaky_relu', 'linear'], 0.9886213407385173]
14,0.0012456318363547325,0.0012456318363547325,136,[0.9650210453675875, [3, 4, 3, 5], 64, [0.29841054605058104, 0.3280769712217872, 0.4293401303127494, 0.28605621462188024], ['softplus', 'softplus', 'linear', 'leaky_relu'], 0.9886213407385173]
15,0.001011400017887354,0.001011400017887354,10,[0.10739425169139108, [6, 4, 3, 8], 2, [0.09609077718153008, 0.02589278385926419, 0.17506115686405188, 0.028806018056367733], ['softplus', 'relu', 'leaky_relu', 'linear'], 0.9886213407385173]
