PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.0, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.0005178639548830688,0.0005178639548830688,175,[0.41175925236389044, [7, 2, 6, 4], 256, [0.2086872919780356, 0.017000863166989177, 0.19019736579079727, 0.19173852117987034], ['relu', 'linear', 'relu', 'leaky_relu'], 0.9690608126708117]
1,0.0005178091814741492,0.0005178091814741492,267,[0.7766643781557244, [8, 3], 32, [0.08039191745596808, 0.1945436919424865], ['linear', 'softplus'], 0.9849662612908658]
2,0.00047675080713815987,0.00047675080713815987,101,[0.20315194812368423, [5], 512, [0.4881556989679812], ['leaky_relu'], 0.9956253127292118]
3,0.0004952280432917178,0.0004952280432917178,100,[0.19141577723372585, [5], 512, [0.4881556989679812], ['softplus'], 0.9956253127292118]
4,0.0004324461333453655,0.0004324461333453655,123,[0.03347495581141037, [2, 5, 8], 8, [0.16350190560844963, 0.4584457362645137, 0.2245672028443551], ['linear', 'relu', 'leaky_relu'], 0.9956253127292118]
5,0.0004966093692928553,0.0004966093692928553,3,[0.19443391719250736, [4, 2, 7], 8, [0.3843627382059752, 0.18530472277463705, 0.014064936827986763], ['softplus', 'leaky_relu', 'relu'], 0.7899667434551867]
6,0.0004915049648843706,0.0004915049648843706,29,[0.19141577723372585, [5], 2, [0.29869772692487306], ['softplus'], 0.8306182603786336]
7,0.00044350160169415176,0.00044350160169415176,4,[0.19443391719250736, [8, 5, 5], 2, [0.17562688226263296, 0.3874530162769728, 0.305501409444899], ['softplus', 'linear', 'leaky_relu'], 0.957266855315205]
8,0.00044586171861737967,0.00044586171861737967,5,[0.19141577723372585, [5], 2, [0.05822064392729481], ['linear'], 0.6981747498659643]
9,0.0004530012374743819,0.0004530012374743819,49,[0.7208856780442098, [5], 2, [0.2855456946349233], ['linear'], 0.9084801662062595]
10,0.0004926047986373305,0.0004926047986373305,65,[0.19141577723372585, [8, 5, 5], 2, [0.33807683775286707, 0.3775938483328848, 0.46296093023971824], ['softplus', 'linear', 'leaky_relu'], 0.9686907035048845]
11,0.0004750310617964715,0.0004750310617964715,4,[0.020843794337257974, [8, 5, 5], 16, [0.18697902107912306, 0.0680270702846239, 0.10279211062021526], ['leaky_relu', 'leaky_relu', 'softplus'], 0.6794638053765385]
12,0.0005034759524278343,0.0005034759524278343,68,[0.19141577723372585, [8, 5, 5], 2, [0.07277291321476359, 0.47582469657932597, 0.25741505676524895], ['relu', 'leaky_relu', 'linear'], 0.9686907035048845]
13,0.0005000659148208797,0.0005000659148208797,9,[0.02706497847042056, [2, 5, 7], 16, [0.4734335995877209, 0.14362561354928993, 0.05359037526105309], ['linear', 'softplus', 'leaky_relu'], 0.6569758296683659]
14,0.0005170574877411127,0.0005170574877411127,38,[0.2982543859018092, [4, 3, 2], 4, [0.24635199873222302, 0.36833261704156456, 0.3456241178750448], ['leaky_relu', 'linear', 'linear'], 0.6905349858754735]
15,0.0005178111023269594,0.0005178111023269594,65,[0.3007277936209883, [3, 2, 5], 8, [0.4798327560715642, 0.4607648656193373, 0.035416577894005596], ['relu', 'leaky_relu', 'linear'], 0.9686907035048845]
16,0.0005178204155527055,0.0005178204155527055,70,[0.2982543859018092, [3, 2, 5], 8, [0.45588280027192185, 0.27682731107762326, 0.3774795899362385], ['relu', 'leaky_relu', 'linear'], 0.9686907035048845]
17,0.0005170248914510012,0.0005170248914510012,0,[0.19927080785448908, [7, 7, 2], 128, [0.18697902107912306, 0.0680270702846239, 0.10279211062021526], ['linear', 'softplus', 'leaky_relu'], 0.6362872795171635]
18,0.0005180439329706132,0.0005180439329706132,12,[0.25254632232406665, [4, 6, 7], 16, [0.2549282901291878, 0.4829888263600368, 0.31152344035315166], ['leaky_relu', 'relu', 'linear'], 0.6545012076504577]
19,0.0005178094725124538,0.0005178094725124538,111,[0.6873320742719623, [6, 8, 4], 2, [0.118623309762525, 0.4310051571644787, 0.10903586466055842], ['softplus', 'softplus', 'softplus'], 0.9454165326907524]

EVOLUTION ENDED

Optimal genes: [0.03347495581141037, [2, 5, 8], 8, [0.16350190560844963, 0.4584457362645137, 0.2245672028443551], ['linear', 'relu', 'leaky_relu'], 0.9956253127292118]           
Optimal fitness: 0.0004324461333453655                 
