PARAMS: {'dataset': 'diabetes', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 1, 'fitness_epoch_count_weight': 0.02}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.26915899794689707,0.274542177905835,0,[0.12972158773118073, [5, 4, 6, 6, 5, 8, 7], 8, [0.36980998426293255, 0.025824245462393702, 0.19320008797789767, 0.48780989658656454, 0.42555948729594023, 0.07677363407870125, 0.3922674253441272], ['linear', 'linear', 'leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu'], 0.563759673847669]
1,0.3822830379923806,0.38992869875222824,0,[0.24896960226866718, [2, 5, 3], 16, [0.3183998426260877, 0.1181676993124331, 0.13068005045490022], ['softplus', 'leaky_relu', 'relu'], 0.745121966537502]
2,0.3243711000898503,0.33085852209164734,0,[0.3975846070053795, [7, 2, 2, 4, 8], 4, [0.47409141898674684, 0.4686770751412685, 0.04834854169897601, 0.24855554352707893, 0.21489007347315292], ['leaky_relu', 'linear', 'linear', 'linear', 'leaky_relu'], 0.9504946517853485]
3,0.2716848035036692,0.25711849957374255,1,[0.4692580224915161, [5], 64, [0.1797361626261914], ['softplus'], 0.600857494901587]
4,0.35040411285296286,0.29741219511002215,3,[0.4692580224915161, [5], 128, [0.1797361626261914], ['softplus'], 0.600857494901587]
5,0.353894530871491,0.3009724214889208,3,[0.4692580224915161, [2], 128, [0.1797361626261914], ['softplus'], 0.600857494901587]
6,0.26045122196023995,0.26566024639944474,0,[0.3482505248969239, [4, 5], 4, [0.4285568057085918, 0.03945536507283137], ['leaky_relu', 'linear'], 0.5021712188753118]
7,0.3822830379923806,0.38992869875222824,0,[0.8988212447957031, [2, 3], 16, [0.07512483797342617, 0.16387568374758205], ['relu', 'relu'], 0.6500676915168218]
8,0.32465670848344175,0.2711498426531106,3,[0.5033315612628063, [8], 128, [0.32821323678414704], ['relu'], 0.5992832590596051]
9,0.24155294687542034,0.24638400581292874,0,[0.4692580224915161, [2, 2, 7, 2, 2, 3], 16, [0.4719058147778017, 0.3104195163574852, 0.3137106198791046, 0.3137106198791046, 0.3137106198791046, 0.3137106198791046], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.8509831502529203]
10,0.3822830379923806,0.38992869875222824,0,[0.3050556220417949, [2, 5, 3], 32, [0.15241311720227618, 0.10167457211404901, 0.22854537592405078], ['relu', 'softplus', 'softplus'], 0.5005917231617054]
11,0.3366740006267788,0.2834074806393144,3,[0.7719571570476392, [5], 128, [0.46074961911349865], ['relu'], 0.9868425772521167]
12,0.31375332494811436,0.2800283914470767,2,[0.38649184154848854, [5], 16, [0.354898151297465], ['linear'], 0.600857494901587]
13,0.3138835178565146,0.26016118821364487,3,[0.2218107288440023, [8], 128, [0.07512483797342617], ['leaky_relu'], 0.5992832590596051]
14,0.31090048977817897,0.25711849957374255,3,[0.5380529395600959, [3], 128, [0.07512483797342617], ['leaky_relu'], 0.5992832590596051]
15,0.2534864213064905,0.2585561497326203,0,[0.2218107288440023, [4], 128, [0.24645479075287086], ['relu'], 0.600857494901587]
16,0.30551852351160314,0.2516288939818352,3,[0.2218107288440023, [8], 128, [0.07512483797342617], ['leaky_relu'], 0.5992832590596051]
17,0.288766841084152,0.274542177905835,1,[0.4534418785115098, [3], 128, [0.07512483797342617], ['relu'], 0.7646634679811302]
18,0.3246937019797256,0.2711875760193201,3,[0.2218107288440023, [8], 128, [0.07512483797342617], ['leaky_relu'], 0.5992832590596051]
19,0.3202431299317112,0.28664799253034545,2,[0.2218107288440023, [2, 7, 5, 4, 3, 2], 16, [0.31287779859069775, 0.45708116679976984, 0.20013305916610957, 0.3306723872624862, 0.4963967972305875, 0.2599768340491754], ['linear', 'linear', 'linear', 'linear', 'linear', 'linear'], 0.8659410097392801]

EVOLUTION ENDED

Optimal genes: [0.4692580224915161, [2, 2, 7, 2, 2, 3], 16, [0.4719058147778017, 0.3104195163574852, 0.3137106198791046, 0.3137106198791046, 0.3137106198791046, 0.3137106198791046], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.8509831502529203]           
Optimal fitness: 0.24155294687542034                 
