PARAMS: {'dataset': 'diabetes', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 1, 'fitness_epoch_count_weight': 0.01}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.3036334712326631,0.2766698059449897,3,[0.21987050847686115, [4, 7, 7, 4], 8, [0.40669684626330005, 0.2626213413936815, 0.2727156637631236, 0.18529080942166082], ['softplus', 'linear', 'leaky_relu', 'leaky_relu'], 0.8313710688759386]
1,0.29356735799766637,0.276503031577643,2,[0.2617163659103795, [8], 32, [0.236098119400852], ['leaky_relu'], 0.6014384429028112]
2,0.266595931738422,0.2692618910558062,0,[0.2617163659103795, [6], 2, [0.439931269265461], ['softplus'], 0.8217780062114859]
3,0.2706479798306629,0.27335445962896954,0,[0.2617163659103795, [6], 2, [0.27616312289482536], ['softplus'], 0.7631146553069863]
4,0.2586524650996906,0.2612389897506875,0,[0.2617163659103795, [6], 2, [0.23647742949394723], ['softplus'], 0.8217780062114859]
5,0.2799784316696841,0.27277821598638097,1,[0.1556516399730511, [7], 2, [0.4151699645730411], ['softplus'], 0.5570592770588121]
6,0.28021294932451296,0.2630150788177581,2,[0.38811488088413404, [6], 2, [0.3437166499137697], ['linear'], 0.544918515663825]
7,0.3054708968415795,0.2785256058099953,3,[0.38811488088413404, [6], 2, [0.3437166499137697], ['linear'], 0.544918515663825]
8,0.2785667088860137,0.2513523759748738,3,[0.2617163659103795, [7], 2, [0.27616312289482536], ['softplus'], 0.6856396986612348]
9,0.26443682321875184,0.26708119145093934,0,[0.48221645209539554, [7], 2, [0.15045239459391851], ['softplus'], 0.6856396986612348]
10,0.24244238705729174,0.24486681092786466,0,[0.48221645209539554, [7], 2, [0.15045239459391851], ['softplus'], 0.6856396986612348]
11,0.30529180147186935,0.288344719486588,2,[0.1469372535699224, [7], 2, [0.4151699645730411], ['softplus'], 0.5202427831597893]
12,0.2636541574020999,0.24629069897612088,2,[0.12345883029469798, [8], 4, [0.439931269265461], ['softplus'], 0.5508769996903904]
13,0.27793236472517535,0.2807116883724271,0,[0.19608588682648637, [7], 2, [0.15045239459391851], ['softplus'], 0.6856396986612348]
14,0.29450856038869644,0.2874536459925834,1,[0.30723244324566457, [8], 4, [0.439931269265461], ['softplus'], 0.5398614839067953]
15,0.2750912064172489,0.24784211848142135,3,[0.9685490527862738, [8], 2, [0.439931269265461], ['linear'], 0.5100401449180347]
16,0.2932946838190275,0.2962276306572178,0,[0.30723244324566457, [6], 2, [0.06653653721785208], ['softplus'], 0.5202427831597893]
17,0.2523433771563017,0.24486681092786466,1,[0.30723244324566457, [8], 4, [0.439931269265461], ['softplus'], 0.72342872401989]
18,0.2726616499184934,0.2553882664176783,2,[0.30723244324566457, [8], 4, [0.439931269265461], ['softplus'], 0.72342872401989]
19,0.3082014697196758,0.2912834844168726,2,[0.1469372535699224, [5], 2, [0.34481914481961434], ['linear'], 0.5398614839067953]

EVOLUTION ENDED

Optimal genes: [0.48221645209539554, [7], 2, [0.15045239459391851], ['softplus'], 0.6856396986612348]           
Optimal fitness: 0.24244238705729174                 
