evolutionary_step,[convergence_times]
0,[27, 0, 1, 1, 8, 5, 57, 24, 32, 0, 3, 5, 15, 27, 10, 75, 50, 0, 20, 2, 21, 35, 5, 159, 1, 24, 100000, 0, 5, 100000, 25, 48, 12, 33, 1, 20, 1, 22, 40, 31, 0, 34, 0, 33, 68, 1, 2, 5, 5, 544]
1,[3, 11, 6, 1, 53, 18, 2, 13, 4, 16, 4, 35, 18, 5, 1, 1, 17, 44, 4, 3, 100000, 12, 1, 1, 32, 36, 6, 2, 100000, 5, 16, 0, 22, 2, 3, 5, 2, 3, 1, 3, 2, 1, 2, 0, 5, 5, 2, 0, 0, 2]
2,[429, 11, 7, 7, 9, 2, 33, 12, 2, 43, 1, 3, 0, 2, 2, 7, 26, 31, 65, 1, 2, 3, 3, 12, 2, 3, 46, 4, 8, 0, 4, 18, 7, 0, 29, 7, 0, 3, 2, 3, 13, 1, 34, 8, 2, 25, 13, 5, 29, 0]
3,[10, 3, 24, 14, 6, 5, 10, 60, 6, 5, 4, 14, 2, 0, 17, 60, 0, 13, 68, 10, 4, 1, 51, 4, 3, 0, 33, 3, 19, 0, 301, 100000, 3, 0, 69, 4, 3, 36, 6, 0, 3, 7, 6, 13, 8, 0, 90, 0, 7, 11]
4,[0, 9, 22, 46, 30, 33, 9, 6, 42, 7, 36, 20, 58, 0, 42, 2, 98, 98, 6, 20, 62, 33, 0, 20, 6, 4, 4, 3, 16, 5, 9, 24, 31, 4, 42, 3, 30, 3, 17, 2, 465, 31, 4, 2, 2, 35, 98, 100000, 10, 0]
5,[10, 122, 10, 21, 0, 15, 5, 102, 2, 11, 3, 3, 39, 8, 3, 7, 4, 10, 7, 30, 16, 8, 5, 45, 21, 2, 7, 41, 4, 2, 42, 26, 39, 78, 6, 2, 4, 193, 45, 43, 27, 0, 2, 0, 25, 15, 2, 0, 184, 69]
6,[20, 33, 94, 29, 2, 0, 4, 9, 11, 197, 29, 3, 54, 5, 10, 0, 4, 46, 16, 0, 68, 5, 40, 65, 9, 24, 1, 4, 3, 17, 1, 5, 8, 7, 0, 120, 2, 100000, 6, 1, 17, 6, 4, 65, 97, 53, 100000, 16, 3, 46]
7,[31, 15, 96, 53, 7, 47, 0, 10, 10, 23, 44, 3, 15, 7, 4, 48, 100000, 2, 2, 0, 209, 7, 5, 24, 3, 36, 4, 310, 4, 15, 43, 10, 27, 13, 24, 56, 302, 1, 9, 378, 438, 120, 10, 53, 1, 27, 3, 6, 60, 13]
8,[13, 0, 10, 40, 3, 6, 13, 6, 2, 63, 69, 3, 9, 15, 34, 100000, 12, 21, 10, 64, 2, 257, 0, 32, 17, 21, 0, 14, 0, 197, 36, 5, 0, 22, 48, 2, 13, 3, 12, 42, 7, 23, 0, 3, 6, 27, 0, 30, 2, 10]
9,[5, 3, 28, 8, 12, 23, 4, 3, 4, 9, 4, 34, 34, 4, 0, 30, 10, 5, 1, 3, 35, 25, 2, 11, 23, 5, 1, 30, 23, 309, 207, 55, 74, 18, 248, 317, 13, 0, 6, 2, 3, 1, 47, 20, 8, 23, 76, 8, 2, 1164]
10,[23, 6, 4, 8, 253, 92, 54, 29, 26, 3, 11, 1, 67, 11, 56, 14, 4, 6, 244, 11, 1, 3, 5, 3, 82, 2, 2, 100000, 9, 0, 2, 3, 100000, 3, 10, 43, 8, 8, 27, 65, 14, 46, 3, 8, 3, 114, 0, 33, 80, 5]
11,[15, 214, 2, 62, 1, 7, 245, 176, 25, 34, 170, 22, 7, 10, 23, 9, 2, 7, 3, 46, 23, 207, 1, 127, 109, 27, 10, 2, 27, 64, 54, 10, 108, 168, 13, 22, 8, 2, 167, 17, 68, 722, 198, 0, 61, 3, 47, 18, 48, 51]
12,[178, 59, 46, 17, 81, 22, 15, 946, 31, 7, 18, 6, 462, 2, 14, 6, 89, 7, 230, 3, 15, 100000, 75, 15, 8, 106, 1, 26, 90, 28, 12, 2, 30, 2, 40, 11, 9, 24, 0, 69, 4, 28, 74, 7, 71, 364, 126, 11, 53, 77]
13,[7, 26, 305, 592, 26, 29, 29, 28, 73, 21, 412, 42, 38, 56, 4, 22, 71, 18, 34, 17, 21, 38, 8, 6, 14, 32, 13, 102, 38, 57, 188, 17, 214, 28, 9, 14, 13, 4, 127, 37, 140, 30, 127, 25, 2, 0, 36, 4, 149, 13]
14,[17, 804, 842, 50, 36, 242, 19, 16, 46, 335, 58, 52, 435, 38, 5, 15, 25, 19, 4, 51, 53, 12, 3, 5, 5, 45, 18, 7, 25, 8, 24, 31, 5, 5, 154, 28, 1, 22, 162, 44, 15, 15, 42, 6, 34, 16, 77, 3, 36, 1025]
15,[72, 185, 68, 37, 602, 447, 7, 20, 17, 25, 32, 7, 309, 277, 6, 41, 3, 36, 1048, 4, 214, 84, 18, 80, 54, 1, 251, 39, 1066, 6, 28, 419, 13, 31, 26, 16, 10, 8, 8, 5, 7, 2, 51, 26, 46, 8, 56, 2, 4, 15]
16,[124, 36, 131, 254, 656, 348, 176, 185, 4, 29, 119, 93, 100, 4, 0, 298, 7, 2, 337, 768, 185, 714, 67, 59, 0, 176, 38, 19, 21, 812, 35, 4, 46, 64, 210, 6, 5, 2, 8, 401, 6, 9, 325, 2, 32, 72, 22, 10, 3, 7]
17,[60, 94, 125, 350, 9, 623, 60, 15, 45, 7, 18, 44, 19, 5, 9, 36, 17, 29, 200, 12, 26, 237, 7, 1, 117, 99, 40, 13, 5, 3, 21, 14, 105, 191, 51, 20, 26, 1114, 65, 116, 187, 154, 5, 3, 278, 35, 16, 10, 3, 331]
18,[70, 66, 20, 14, 31, 12, 171, 22, 1095, 7, 9, 15, 124, 1, 105, 12, 7, 4, 10, 5, 30, 28, 4, 10, 39, 3, 85, 228, 72, 4, 40, 54, 16, 1, 447, 471, 3, 10, 6, 11, 251, 285, 8, 83, 9, 13, 3, 4, 40, 3]
19,[41, 190, 49, 282, 31, 31, 60, 12, 11, 127, 17, 10, 546, 135, 38, 24, 4, 12, 3, 398, 6, 2, 7, 343, 29, 6, 205, 188, 151, 4, 5, 9, 31, 117, 22, 8, 78, 7, 8, 40, 4, 111, 10, 9, 20, 46, 22, 2, 27, 0]
