PARAMS: {'dataset': 'diabetes', 'dominant_gene': 1, 'genome_type': 1, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.2667884934415281,0.2667884934415281,48,[0.12550188017515235, [6], 128, [0], ['leaky_relu'], 0.9565010645830463]
1,0.22963071691558734,0.22963071691558734,33,[0.24942219517746805, [2, 4], 2, [0, 0], ['linear', 'linear'], 0.9517686623575625]
2,0.2378845664886856,0.2378845664886856,23,[0.24942219517746805, [2, 4], 2, [0, 0], ['linear', 'linear'], 0.9517686623575625]
3,0.21348344910558514,0.21348344910558514,27,[0.21327572832076003, [8, 2], 16, [0, 0], ['leaky_relu', 'leaky_relu'], 0.9565010645830463]
4,0.2055786916536526,0.2055786916536526,190,[0.7474974477643171, [8, 2], 2, [0, 0], ['leaky_relu', 'linear'], 0.9905976487947653]
5,0.19187344554340913,0.19187344554340913,120,[0.9325193827902749, [6], 2, [0], ['leaky_relu'], 0.9905976487947653]
6,0.19282537977139103,0.19282537977139103,166,[0.21327572832076003, [7, 4], 2, [0, 0], ['leaky_relu', 'leaky_relu'], 0.9905976487947653]
7,0.19971032335683758,0.19971032335683758,134,[0.08723639404175276, [7, 8], 2, [0, 0], ['softplus', 'linear'], 0.9905976487947653]
8,0.19971032335683758,0.19971032335683758,178,[0.08723639404175276, [7, 8], 2, [0, 0], ['softplus', 'linear'], 0.9905976487947653]
9,0.19008050374621388,0.19008050374621388,74,[0.6836674780287957, [7, 8], 2, [0, 0], ['linear', 'leaky_relu'], 0.9905976487947653]
10,0.19187344554340913,0.19187344554340913,153,[0.6836674780287957, [5, 6], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]
11,0.17816819943316575,0.17816819943316575,129,[0.6836674780287957, [5, 6], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]
12,0.17493874077443405,0.17493874077443405,72,[0.6836674780287957, [7, 8], 2, [0, 0], ['linear', 'leaky_relu'], 0.9905976487947653]
13,0.18413943355119822,0.18413943355119822,60,[0.7890050164029079, [7, 8], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]
14,0.17816819943316575,0.17816819943316575,26,[0.7890050164029079, [7, 8], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]
15,0.17952707771819165,0.17952707771819165,243,[0.7712524907024985, [7, 8], 2, [0, 0], ['linear', 'leaky_relu'], 0.9905976487947653]
16,0.16150604385898493,0.16150604385898493,148,[0.6836674780287957, [7, 8], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]
17,0.18413943355119822,0.18413943355119822,165,[0.5111414198511853, [7, 8], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]
18,0.17049947551036881,0.17049947551036881,190,[0.6283779667779216, [7, 8], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]
19,0.16292614606818323,0.16292614606818323,113,[0.7890050164029079, [8, 8], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]

EVOLUTION ENDED

Optimal genes: [0.6836674780287957, [7, 8], 2, [0, 0], ['linear', 'linear'], 0.9905976487947653]           
Optimal fitness: 0.16150604385898493                 
