PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 2, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.00046107976231724024,0.00046107976231724024,35,[0.09382241791709005, [4, 3], 64, [0, 0], ['linear', 'leaky_relu'], 1.0]
1,0.0004708314663730562,0.0004708314663730562,10,[0.09382241791709005, [4, 3], 64, [0, 0], ['linear', 'leaky_relu'], 1.0]
2,0.00043846346670761704,0.00043846346670761704,213,[0.19839335898904792, [3, 3, 3, 3], 64, [0, 0, 0, 0], ['linear', 'linear', 'linear', 'linear'], 1.0]
3,0.0004107107815798372,0.0004107107815798372,93,[0.1512163587231124, [7, 2], 64, [0, 0], ['linear', 'leaky_relu'], 1.0]
4,0.00038372661219909787,0.00038372661219909787,37,[0.19839335898904792, [3, 3, 3, 3], 64, [0, 0, 0, 0], ['linear', 'linear', 'linear', 'linear'], 1.0]
5,0.0004234006046317518,0.0004234006046317518,160,[0.1512163587231124, [7, 2], 64, [0, 0], ['linear', 'leaky_relu'], 1.0]
6,0.0004287332121748477,0.0004287332121748477,21,[0.19839335898904792, [8, 5, 5, 4], 64, [0, 0, 0, 0], ['relu', 'softplus', 'leaky_relu', 'leaky_relu'], 1.0]
7,0.00041930528823286295,0.00041930528823286295,62,[0.022526660665739977, [8, 3], 64, [0, 0], ['leaky_relu', 'leaky_relu'], 1.0]
8,0.0004308650968596339,0.0004308650968596339,2,[0.022526660665739977, [8, 3], 64, [0, 0], ['leaky_relu', 'leaky_relu'], 1.0]
9,0.00041005914681591094,0.00041005914681591094,68,[0.022526660665739977, [8, 8], 64, [0, 0], ['linear', 'linear'], 1.0]
10,0.00039723096415400505,0.00039723096415400505,11,[0.10460919942324554, [3, 5, 3], 64, [0, 0, 0], ['leaky_relu', 'relu', 'leaky_relu'], 1.0]
11,0.0004236318345647305,0.0004236318345647305,9,[0.022526660665739977, [8, 3], 64, [0, 0], ['leaky_relu', 'leaky_relu'], 1.0]
12,0.0003970152174588293,0.0003970152174588293,9,[0.022526660665739977, [8, 3], 64, [0, 0], ['leaky_relu', 'leaky_relu'], 1.0]
13,0.0003858922573272139,0.0003858922573272139,30,[0.05082896392286691, [6, 6, 4], 64, [0, 0, 0], ['linear', 'linear', 'linear'], 1.0]
14,0.0004128127475269139,0.0004128127475269139,12,[0.006433958360690337, [8, 3], 64, [0, 0], ['linear', 'softplus'], 1.0]
15,0.0004031836288049817,0.0004031836288049817,14,[0.006433958360690337, [8, 3], 64, [0, 0], ['relu', 'linear'], 1.0]
16,0.00041060871444642544,0.00041060871444642544,11,[0.006433958360690337, [8, 3], 64, [0, 0], ['linear', 'softplus'], 1.0]
17,0.00038909606519155204,0.00038909606519155204,20,[0.06429189232508685, [7, 5], 64, [0, 0], ['linear', 'relu'], 1.0]
18,0.00037841315497644246,0.00037841315497644246,266,[0.3269207315799464, [7, 5, 2], 64, [0, 0, 0], ['leaky_relu', 'leaky_relu', 'linear'], 1.0]
19,0.0003925365745089948,0.0003925365745089948,13,[0.006433958360690337, [8, 3], 64, [0, 0], ['relu', 'linear'], 1.0]

EVOLUTION ENDED

Optimal genes: [0.3269207315799464, [7, 5, 2], 64, [0, 0, 0], ['leaky_relu', 'leaky_relu', 'linear'], 1.0]           
Optimal fitness: 0.00037841315497644246                 
