PARAMS: {'dataset': 'diabetes', 'dominant_gene': 1, 'genome_type': 2, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.17620096166808963,0.17620096166808963,244,[0.2781080692218735, [8, 6, 7], 6, [0, 0, 0], ['linear', 'leaky_relu', 'linear'], 1.0]
1,0.1744555432235787,0.1744555432235787,73,[0.4567604500357662, [8], 6, [0], ['leaky_relu'], 1.0]
2,0.16641205295356465,0.16641205295356465,91,[0.8654595004898606, [7], 6, [0], ['linear'], 1.0]
3,0.15798073615411068,0.15798073615411068,70,[0.8654595004898606, [4], 6, [0], ['linear'], 1.0]
4,0.16424674430057318,0.16424674430057318,258,[0.39280219829348784, [4, 6], 6, [0, 0], ['linear', 'leaky_relu'], 1.0]
5,0.14481567480793478,0.14481567480793478,98,[0.8703769175810969, [8], 6, [0], ['leaky_relu'], 1.0]
6,0.16269794344660649,0.16269794344660649,175,[0.4567604500357662, [8], 6, [0], ['leaky_relu'], 1.0]
7,0.15863871321724576,0.15863871321724576,204,[0.4567604500357662, [8], 6, [0], ['leaky_relu'], 1.0]
8,0.1505715296564969,0.1505715296564969,143,[0.7672687189133311, [8], 6, [0], ['leaky_relu'], 1.0]
9,0.15170537317896882,0.15170537317896882,245,[0.9885438868358525, [8], 6, [0], ['linear'], 1.0]
10,0.16424674430057318,0.16424674430057318,168,[0.9885438868358525, [8], 6, [0], ['linear'], 1.0]
11,0.1682298126547469,0.1682298126547469,173,[0.9885438868358525, [8], 6, [0], ['linear'], 1.0]
12,0.14608510070694947,0.14608510070694947,123,[0.8703769175810969, [8], 6, [0], ['linear'], 1.0]
13,0.1593655644075812,0.1593655644075812,78,[0.7364061793967646, [8], 6, [0], ['leaky_relu'], 1.0]
14,0.16198497677822077,0.16198497677822077,196,[0.6642043632623811, [8], 6, [0], ['leaky_relu'], 1.0]
15,0.15798073615411068,0.15798073615411068,149,[0.6232780818483222, [7], 6, [0], ['linear'], 1.0]
16,0.1641271654292784,0.1641271654292784,242,[0.6232780818483222, [7], 6, [0], ['leaky_relu'], 1.0]
17,0.15170537317896882,0.15170537317896882,152,[0.6232780818483222, [8], 6, [0], ['linear'], 1.0]
18,0.15639890364748055,0.15639890364748055,120,[0.8720819802212967, [8], 6, [0], ['leaky_relu'], 1.0]
19,0.16424674430057318,0.16424674430057318,157,[0.8720819802212967, [8], 6, [0], ['leaky_relu'], 1.0]

EVOLUTION ENDED

Optimal genes: [0.8703769175810969, [8], 6, [0], ['leaky_relu'], 1.0]           
Optimal fitness: 0.14481567480793478                 
