PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.0011924682185053825,0.0011924682185053825,10,[0.9818693047875643, [4, 4], 4, [0.27962385154426816, 0.46227786511860847], ['leaky_relu', 'relu'], 0.9348593847388675]
1,0.0011622479651123285,0.0011622479651123285,6,[0.39358018668510725, [2], 4, [0.32689277619910984], ['linear'], 0.7312265132028826]
2,0.0010324118193238974,0.0010324118193238974,55,[0.01921833299312267, [5], 256, [0.22898154860933373], ['softplus'], 0.9348593847388675]
3,0.0008456900832243264,0.0008456900832243264,2,[0.39358018668510725, [2], 4, [0.32689277619910984], ['linear'], 0.7429711525895912]
4,0.0007420994224958122,0.0007420994224958122,30,[0.08914723770286458, [7, 4, 6, 3], 32, [0.06676275062599507, 0.005910909318807389, 0.4269613399081132, 0.1636072890535556], ['leaky_relu', 'softplus', 'softplus', 'softplus'], 0.5901356032831534]
5,0.0008611498051322997,0.0008611498051322997,43,[0.08914723770286458, [5], 256, [0.22898154860933373], ['softplus'], 0.9348593847388675]
6,0.0009445017785765231,0.0009445017785765231,8,[0.08914723770286458, [5], 256, [0.22898154860933373], ['softplus'], 0.9348593847388675]
7,0.0007663147989660501,0.0007663147989660501,232,[0.01921833299312267, [4], 256, [0.22898154860933373], ['softplus'], 0.9348593847388675]
8,0.0009347090381197631,0.0009347090381197631,234,[0.08914723770286458, [5], 256, [0.22898154860933373], ['softplus'], 0.9348593847388675]
9,0.0007459840853698552,0.0007459840853698552,43,[0.08914723770286458, [5], 256, [0.3945370022769346], ['softplus'], 0.9348593847388675]
10,0.0008407115237787366,0.0008407115237787366,46,[0.08914723770286458, [5], 256, [0.22898154860933373], ['softplus'], 0.9348593847388675]
11,0.0007836221484467387,0.0007836221484467387,19,[0.08914723770286458, [5], 256, [0.22898154860933373], ['softplus'], 0.9348593847388675]
12,0.0006785464356653392,0.0006785464356653392,51,[0.08914723770286458, [5], 128, [0.22898154860933373], ['softplus'], 0.9348593847388675]
13,0.0008582476293668151,0.0008582476293668151,78,[0.08914723770286458, [5], 2, [0.22898154860933373], ['softplus'], 0.9348593847388675]
14,0.0007584370905533433,0.0007584370905533433,83,[0.08914723770286458, [5], 2, [0.22898154860933373], ['softplus'], 0.9348593847388675]
15,0.0006247321725822985,0.0006247321725822985,2,[0.04456471872022973, [5], 8, [0.4050991807617476], ['linear'], 0.9348593847388675]
16,0.0004901894135400653,0.0004901894135400653,25,[0.08914723770286458, [7], 8, [0.4050991807617476], ['linear'], 0.8863960375295228]
17,0.0005705130752176046,0.0005705130752176046,19,[0.08914723770286458, [7], 8, [0.4050991807617476], ['linear'], 0.8863960375295228]
18,0.0005255810101516545,0.0005255810101516545,12,[0.08914723770286458, [7], 8, [0.4050991807617476], ['linear'], 0.8863960375295228]
19,0.0004725769686046988,0.0004725769686046988,21,[0.08914723770286458, [7], 8, [0.11924210546490333], ['linear'], 0.9348593847388675]
20,0.0005099099944345653,0.0005099099944345653,37,[0.08914723770286458, [7], 8, [0.4050991807617476], ['linear'], 0.8863960375295228]
21,0.0005078877438791096,0.0005078877438791096,18,[0.08914723770286458, [7], 8, [0.4050991807617476], ['linear'], 0.8863960375295228]
22,0.0005223210901021957,0.0005223210901021957,67,[0.08914723770286458, [7], 8, [0.11924210546490333], ['linear'], 0.9348593847388675]
23,0.0006278739310801029,0.0006278739310801029,26,[0.08914723770286458, [7], 8, [0.11924210546490333], ['leaky_relu'], 0.9348593847388675]
24,0.000520338595379144,0.000520338595379144,18,[0.08914723770286458, [7], 8, [0.2788418936099459], ['linear'], 0.9495967466222921]
25,0.0005036124493926764,0.0005036124493926764,32,[0.08914723770286458, [7], 8, [0.11924210546490333], ['linear'], 0.9348593847388675]
26,0.0005202952306717634,0.0005202952306717634,56,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.9348593847388675]
27,0.0005190374795347452,0.0005190374795347452,23,[0.08914723770286458, [7], 8, [0.11924210546490333], ['leaky_relu'], 0.7976154696602301]
28,0.00052495242562145,0.00052495242562145,24,[0.08914723770286458, [7], 8, [0.06137241057915355], ['leaky_relu'], 0.9348593847388675]
29,0.0005830260924994946,0.0005830260924994946,6,[0.2698766328384964, [4], 8, [0.06137241057915355], ['leaky_relu'], 0.9348593847388675]
30,0.0005786640103906393,0.0005786640103906393,25,[0.2698766328384964, [4], 8, [0.06137241057915355], ['leaky_relu'], 0.9348593847388675]
31,0.0006172535358928144,0.0006172535358928144,35,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.9348593847388675]
32,0.0005653258413076401,0.0005653258413076401,90,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.9348593847388675]
33,0.0005969189805909991,0.0005969189805909991,41,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.9348593847388675]
34,0.000544161070138216,0.000544161070138216,38,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.9348593847388675]
35,0.0005513513460755348,0.0005513513460755348,36,[0.08914723770286458, [7], 8, [0.009163946633260756], ['leaky_relu'], 0.9348593847388675]
