PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.0005666661309078336,0.0005666661309078336,40,[0.2812795864973834, [2, 3, 2, 5, 5, 8, 8], 16, [0.48550318909690376, 0.056030992828214166, 0.2634144902199011, 0.03494700954248947, 0.47646752505828266, 0.41908767999939667, 0.39613311918596766], ['softplus', 'linear', 'leaky_relu', 'softplus', 'softplus', 'leaky_relu', 'linear'], 0.9060498796174941]
1,0.0005124958697706461,0.0005124958697706461,5,[0.025567716438653215, [5], 128, [0.07044004390632358], ['leaky_relu'], 0.5268978634580712]
2,0.0005532900686375797,0.0005532900686375797,28,[0.38653875852737124, [3, 2, 5], 32, [0.43867502900782884, 0.4351565336742259, 0.06031687392864771], ['relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
3,0.0005532942013815045,0.0005532942013815045,44,[0.38653875852737124, [3, 2, 5], 32, [0.43867502900782884, 0.4351565336742259, 0.06031687392864771], ['relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
4,0.0005532847135327756,0.0005532847135327756,75,[0.38653875852737124, [3, 2, 5], 32, [0.43867502900782884, 0.4351565336742259, 0.06031687392864771], ['relu', 'softplus', 'leaky_relu'], 0.9625812823432778]
5,0.000508737051859498,0.000508737051859498,26,[0.025567716438653215, [5], 128, [0.42318085841702263], ['softplus'], 0.9806138937988043]
6,0.0005032381159253418,0.0005032381159253418,18,[0.025567716438653215, [5], 128, [0.42318085841702263], ['softplus'], 0.9806138937988043]
7,0.0005532896029762924,0.0005532896029762924,43,[0.38653875852737124, [2, 2, 5], 64, [0.42318085841702263, 0.2960998559307138, 0.28125812657703275], ['relu', 'leaky_relu', 'leaky_relu'], 0.9625812823432778]
8,0.0005527242319658399,0.0005527242319658399,89,[0.38653875852737124, [2, 7, 3], 512, [0.42318085841702263, 0.2960998559307138, 0.28125812657703275], ['relu', 'leaky_relu', 'leaky_relu'], 0.9625812823432778]
9,0.0005519214319065213,0.0005519214319065213,19,[0.025567716438653215, [2, 2, 5], 512, [0.43867502900782884, 0.4351565336742259, 0.06031687392864771], ['softplus', 'softplus', 'linear'], 0.9212881127651043]
10,0.0005486974841915071,0.0005486974841915071,87,[0.025567716438653215, [3, 6, 7], 512, [0.43867502900782884, 0.4351565336742259, 0.06031687392864771], ['relu', 'leaky_relu', 'leaky_relu'], 0.9625812823432778]
11,0.0005471433396451175,0.0005471433396451175,24,[0.025567716438653215, [2, 2, 5], 2, [0.43867502900782884, 0.4351565336742259, 0.06031687392864771], ['softplus', 'softplus', 'linear'], 0.9625812823432778]
12,0.0004519826907198876,0.0004519826907198876,43,[0.025567716438653215, [3, 6, 7], 2, [0.07487184801104291, 0.07473017904703527, 0.43486156142831023], ['relu', 'leaky_relu', 'leaky_relu'], 0.9625812823432778]
13,0.0004684001614805311,0.0004684001614805311,39,[0.025567716438653215, [3, 6, 7], 2, [0.07487184801104291, 0.07473017904703527, 0.43486156142831023], ['relu', 'leaky_relu', 'leaky_relu'], 0.9625812823432778]
14,0.00044440163765102625,0.00044440163765102625,39,[0.025567716438653215, [3, 6, 7], 2, [0.07487184801104291, 0.07473017904703527, 0.43486156142831023], ['relu', 'leaky_relu', 'leaky_relu'], 0.9625812823432778]
15,0.0005478548700921237,0.0005478548700921237,56,[0.025567716438653215, [3, 6, 7], 256, [0.43867502900782884, 0.4351565336742259, 0.06031687392864771], ['relu', 'relu', 'softplus'], 0.9625812823432778]
