PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.001128334435634315,0.001128334435634315,2,[0.045473812587393504, [8, 2, 7, 7, 3, 3, 3], 256, [0.3060557758731642, 0.3445290748611679, 0.16835028778407107, 0.29212480498851806, 0.0029948139802877805, 0.38359038420098385, 0.05634372186703085], ['softplus', 'relu', 'relu', 'softplus', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.7700993773701652]
1,0.0010354287223890424,0.0010354287223890424,71,[0.023910966736186465, [7, 2, 4], 256, [0.36895470620179543, 0.24215646296072257, 0.07128194980673924], ['relu', 'leaky_relu', 'softplus'], 0.9977282128965732]
2,0.0011292374692857265,0.0011292374692857265,2,[0.045473812587393504, [8, 2, 8, 5, 4], 2, [0.0369536808410022, 0.13914436858775475, 0.12156691697815103, 0.3338694753994506, 0.46757884188197063], ['leaky_relu', 'softplus', 'linear', 'softplus', 'softplus'], 0.7667235270102077]
3,0.0011301920749247074,0.0011301920749247074,0,[0.045473812587393504, [8, 2, 8, 5, 4], 8, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343], ['relu', 'relu', 'relu', 'relu', 'relu'], 0.8289058497015629]
4,0.0011293506249785423,0.0011293506249785423,5,[0.045473812587393504, [8, 2, 7, 7, 3, 3, 3], 8, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['relu', 'softplus', 'linear', 'relu', 'linear', 'relu', 'leaky_relu'], 0.8289058497015629]
5,0.0011298692552372813,0.0011298692552372813,5,[0.045473812587393504, [8, 2, 8, 5, 4], 2, [0.0369536808410022, 0.13914436858775475, 0.12156691697815103, 0.3338694753994506, 0.46757884188197063], ['leaky_relu', 'softplus', 'linear', 'softplus', 'softplus'], 0.7667235270102077]
6,0.0011236832942813635,0.0011236832942813635,0,[0.045473812587393504, [8, 2, 7, 7, 3, 3, 3], 8, [0.12390370251526617, 0.30655834186538616, 0.308900797925379, 0.1868553953578881, 0.0475246583741703, 0.3381033760582573, 0.4751679563698879], ['relu', 'linear', 'relu', 'relu', 'softplus', 'linear', 'relu'], 0.7667235270102077]
7,0.0011310633271932602,0.0011310633271932602,9,[0.045473812587393504, [8, 2, 7, 7, 3, 3, 3], 8, [0.0369536808410022, 0.13914436858775475, 0.12156691697815103, 0.3338694753994506, 0.46757884188197063, 0.46757884188197063, 0.46757884188197063], ['softplus', 'softplus', 'linear', 'linear', 'linear', 'softplus', 'leaky_relu'], 0.8796441923731992]
8,0.0011297750752419233,0.0011297750752419233,8,[0.045473812587393504, [5, 3, 3, 5, 4], 2, [0.0369536808410022, 0.13914436858775475, 0.12156691697815103, 0.3338694753994506, 0.46757884188197063], ['leaky_relu', 'softplus', 'linear', 'softplus', 'softplus'], 0.7667235270102077]
9,0.0011301669292151928,0.0011301669292151928,10,[0.045473812587393504, [8, 2, 7, 7, 3, 3, 3], 8, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['relu', 'softplus', 'leaky_relu', 'linear', 'leaky_relu', 'relu', 'linear'], 0.9641194677301059]
10,0.0011262512998655438,0.0011262512998655438,11,[0.045473812587393504, [8, 2, 7, 7, 3, 3, 3], 8, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['relu', 'linear', 'leaky_relu', 'relu', 'leaky_relu', 'leaky_relu', 'softplus'], 0.9641194677301059]
