PARAMS: {'dataset': 'diabetes', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.31921822450663107,0.31921822450663107,6,[0.9781677359326486, [8, 2, 3], 512, [0.2897991970277071, 0.49374444119034544, 0.28327786696096835], ['relu', 'leaky_relu', 'leaky_relu'], 0.8487652028005884]
1,0.30005151677801656,0.30005151677801656,29,[0.49584785066287623, [4, 2], 32, [0.005512816807734522, 0.4485050617866577], ['linear', 'linear'], 0.956649927369573]
2,0.3030885556837114,0.3030885556837114,32,[0.9781677359326486, [5, 7, 8], 32, [0.005512816807734522, 0.4485050617866577, 0.4485050617866577], ['linear', 'linear', 'linear'], 0.956649927369573]
3,0.2771083911386407,0.2771083911386407,24,[0.9781677359326486, [5, 7, 8], 32, [0.005512816807734522, 0.4485050617866577, 0.4485050617866577], ['linear', 'linear', 'linear'], 0.956649927369573]
4,0.28213507625272327,0.28213507625272327,30,[0.8661113390813384, [3], 4, [0.18923742961051582], ['linear'], 0.967190638768977]
5,0.27955367885130833,0.27955367885130833,48,[0.5141868286086156, [8, 7], 32, [0.3189670433953886, 0.06239774135539311], ['linear', 'linear'], 0.967190638768977]
6,0.2545865020041165,0.2545865020041165,63,[0.9781677359326486, [8, 7], 4, [0.3189670433953886, 0.06239774135539311], ['linear', 'linear'], 0.967190638768977]
7,0.25827722283882115,0.25827722283882115,75,[0.9781677359326486, [8, 7], 4, [0.3189670433953886, 0.06239774135539311], ['linear', 'linear'], 0.967190638768977]
8,0.22973921904403183,0.22973921904403183,42,[0.9781677359326486, [8, 7], 4, [0.3189670433953886, 0.06239774135539311], ['linear', 'linear'], 0.967190638768977]
9,0.2492630203791415,0.2492630203791415,76,[0.9781677359326486, [8, 7], 4, [0.3189670433953886, 0.06239774135539311], ['linear', 'linear'], 0.967190638768977]
10,0.25398991211604927,0.25398991211604927,87,[0.9781677359326486, [8, 7], 4, [0.3189670433953886, 0.06239774135539311], ['linear', 'linear'], 0.967190638768977]
11,0.24468368479467248,0.2446836847946725,127,[0.9781677359326486, [6, 5], 4, [0.44748683596283206, 0.44748683596283206], ['linear', 'linear'], 0.967190638768977]
12,0.2498229583095375,0.2498229583095375,118,[0.8069570608708373, [7, 8], 2, [0.44748683596283206, 0.44748683596283206], ['linear', 'linear'], 0.967190638768977]
13,0.2507114400418192,0.2507114400418192,80,[0.9781677359326486, [7, 5], 4, [0.2339786209400988, 0.3718752290518187], ['linear', 'linear'], 0.967190638768977]
14,0.24024585841478655,0.24024585841478652,138,[0.8661113390813384, [6, 8], 4, [0.19343672699675252, 0.07006991543249536], ['linear', 'linear'], 0.980846791498785]
15,0.2342614011896894,0.2342614011896894,31,[0.8661113390813384, [6, 8], 8, [0.2991575040321739, 0.14579040032522056], ['linear', 'linear'], 0.967190638768977]
16,0.24186401833460644,0.24186401833460647,102,[0.5696787140679078, [7, 8], 2, [0.44748683596283206, 0.44748683596283206], ['linear', 'linear'], 0.967190638768977]
17,0.2428671744179766,0.24286717441797656,76,[0.8661113390813384, [6, 8], 4, [0.37239118250116265, 0.4218971000601613], ['linear', 'linear'], 0.980846791498785]
18,0.25228014920727826,0.25228014920727826,116,[0.3770907209992254, [8, 7], 2, [0.3024979804028294, 0.39512713462108473], ['linear', 'linear'], 0.967190638768977]
19,0.24983484433199796,0.24983484433199799,93,[0.5260363323762633, [6, 8], 4, [0.37239118250116265, 0.4218971000601613], ['linear', 'linear'], 0.980846791498785]

EVOLUTION ENDED

Optimal genes: [0.9781677359326486, [8, 7], 4, [0.3189670433953886, 0.06239774135539311], ['linear', 'linear'], 0.967190638768977]           
Optimal fitness: 0.22973921904403183                 
