PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.0005806406843475997,0.0005806406843475997,24,[0.1271211553561722, [3], 32, [0.07394702929886804], ['softplus'], 0.9014949858608725]
1,0.0006465608021244407,0.0006465608021244407,8,[0.2491948454016429, [2], 64, [0.030136876345706998], ['softplus'], 0.6571278605839885]
2,0.000585148052778095,0.000585148052778095,16,[0.7113511672801041, [2], 32, [0.03320101658182306], ['leaky_relu'], 0.8192780072890872]
3,0.0005844390252605081,0.0005844390252605081,25,[0.2724203344523355, [2, 8, 4], 4, [0.020381803471616278, 0.42126680250455795, 0.08306416742553907], ['leaky_relu', 'leaky_relu', 'leaky_relu'], 0.7929483794859067]
4,0.0006717948708683252,0.0006717948708683252,33,[0.2724203344523355, [2, 8, 4], 4, [0.020381803471616278, 0.42126680250455795, 0.08306416742553907], ['leaky_relu', 'leaky_relu', 'leaky_relu'], 0.7929483794859067]
5,0.0009800781263038516,0.0009800781263038516,8,[0.09919811426046991, [4, 4, 6], 2, [0.020381803471616278, 0.42126680250455795, 0.08306416742553907], ['linear', 'leaky_relu', 'linear'], 0.5179925255243047]
6,0.0012894351966679096,0.0012894351966679096,6,[0.09919811426046991, [4, 4, 6], 2, [0.020381803471616278, 0.42126680250455795, 0.08306416742553907], ['linear', 'leaky_relu', 'linear'], 0.5179925255243047]
7,0.0009428152698092163,0.0009428152698092163,108,[0.0595281709495033, [4, 2, 4, 2, 4], 8, [0.10734589703003294, 0.022077014870322875, 0.4718713606704268, 0.10060203769204512, 0.17374788932039797], ['linear', 'linear', 'linear', 'linear', 'linear'], 0.9643786202118927]
8,0.001117729116231203,0.001117729116231203,167,[0.09919811426046991, [4, 4, 6], 2, [0.024584721124840114, 0.22697498098654528, 0.30716820717318133], ['linear', 'linear', 'linear'], 0.9945916265127058]
9,0.0011052725603803992,0.0011052725603803992,35,[0.09919811426046991, [4, 4, 6], 2, [0.024584721124840114, 0.22697498098654528, 0.30716820717318133], ['linear', 'linear', 'linear'], 0.9945916265127058]
10,0.0006843410083092749,0.0006843410083092749,143,[0.09919811426046991, [4, 4, 6], 2, [0.024584721124840114, 0.22697498098654528, 0.30716820717318133], ['linear', 'linear', 'linear'], 0.9945916265127058]
11,0.0009751389152370393,0.0009751389152370393,127,[0.0595281709495033, [4, 2, 4, 2, 4], 8, [0.10734589703003294, 0.022077014870322875, 0.4718713606704268, 0.10060203769204512, 0.17374788932039797], ['linear', 'linear', 'linear', 'linear', 'linear'], 0.9643786202118927]
12,0.0007342814933508635,0.0007342814933508635,40,[0.0595281709495033, [5, 8, 7], 2, [0.024584721124840114, 0.22697498098654528, 0.30716820717318133], ['linear', 'linear', 'linear'], 0.8597496747437293]
13,0.0008718624012544751,0.0008718624012544751,87,[0.0595281709495033, [4, 2, 4, 2, 4], 8, [0.10734589703003294, 0.022077014870322875, 0.4718713606704268, 0.10060203769204512, 0.17374788932039797], ['linear', 'linear', 'linear', 'linear', 'linear'], 0.9643786202118927]
14,0.0006226825644262135,0.0006226825644262135,41,[0.09919811426046991, [4, 4, 6], 128, [0.10734589703003294, 0.022077014870322875, 0.4718713606704268], ['linear', 'linear', 'linear'], 0.9643786202118927]
15,0.0005463948473334312,0.0005463948473334312,172,[0.09919811426046991, [8, 7, 5], 16, [0.16763096179631737, 0.010537354795799758, 0.0641100852792792], ['linear', 'relu', 'leaky_relu'], 0.9844233779460615]
16,0.00045851527829654515,0.00045851527829654515,33,[0.09919811426046991, [2, 5, 2], 128, [0.10734589703003294, 0.022077014870322875, 0.4718713606704268], ['linear', 'linear', 'linear'], 0.9643786202118927]
17,0.0005180771695449948,0.0005180771695449948,197,[0.0595281709495033, [5, 8, 7], 512, [0.1981825189987627, 0.30701192486931494, 0.24685963520824378], ['linear', 'linear', 'linear'], 0.9945916265127058]
18,0.0006025430629961193,0.0006025430629961193,285,[0.0595281709495033, [5, 8, 7], 2, [0.24941855129703355, 0.28227947864537534, 0.08752704267749739], ['linear', 'linear', 'linear'], 0.9643786202118927]
19,0.0008063553250394762,0.0008063553250394762,75,[0.0595281709495033, [5, 8, 7], 2, [0.24941855129703355, 0.28227947864537534, 0.08752704267749739], ['linear', 'linear', 'linear'], 0.9643786202118927]

EVOLUTION ENDED

Optimal genes: [0.09919811426046991, [2, 5, 2], 128, [0.10734589703003294, 0.022077014870322875, 0.4718713606704268], ['linear', 'linear', 'linear'], 0.9643786202118927]           
Optimal fitness: 0.00045851527829654515                 
