PARAMS: {'dataset': 'diabetes', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 20, 'pop_size': 30, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.2902647730836432,0.2902647730836432,15,[0.33146409592048687, [4, 5, 5], 128, [0.11223172719913571, 0.24747580941219127, 0.19936863303609736], ['linear', 'leaky_relu', 'relu'], 0.9292450535649652]
1,0.3292779118961685,0.3292779118961685,0,[0.8152831809058821, [6, 5, 6], 64, [0.23604180340913994, 0.3390520684490595, 0.11795119711813101], ['leaky_relu', 'leaky_relu', 'leaky_relu'], 0.6549278161121661]
2,0.3092855052468749,0.3092855052468749,9,[0.7645318306303256, [7], 64, [0.13456505941141894], ['softplus'], 0.9267459535031246]
3,0.29534121340844033,0.29534121340844033,0,[0.8152831809058821, [6, 5, 6], 64, [0.23604180340913994, 0.3390520684490595, 0.11795119711813101], ['relu', 'relu', 'relu'], 0.8491834808913588]
4,0.23570904216271424,0.23570904216271427,350,[0.3170715084556977, [5], 64, [0.017653230553549004], ['relu'], 0.9974465335998977]
5,0.2457107843137255,0.2457107843137255,27,[0.3170715084556977, [5], 4, [0.017653230553549004], ['softplus'], 0.9974465335998977]
6,0.2134551684751571,0.2134551684751571,113,[0.3170715084556977, [5], 512, [0.3241901907112491], ['relu'], 0.9974465335998977]
7,0.24164281097054197,0.24164281097054197,368,[0.7232314795987754, [4], 32, [0.4354757357162236], ['softplus'], 0.9974465335998977]
8,0.20219920502080602,0.20219920502080602,171,[0.3170715084556977, [5], 4, [0.017653230553549004], ['leaky_relu'], 0.9974465335998977]
9,0.22925236407435748,0.22925236407435745,111,[0.3170715084556977, [5], 4, [0.017653230553549004], ['leaky_relu'], 0.9974465335998977]
10,0.22429550647372443,0.22429550647372443,113,[0.3170715084556977, [5], 4, [0.017653230553549004], ['leaky_relu'], 0.9974465335998977]
11,0.22429550647372443,0.22429550647372443,81,[0.7645318306303256, [8], 4, [0.09941408639508947], ['leaky_relu'], 0.9963140001852719]
12,0.20136900914211842,0.20136900914211842,108,[0.7232314795987754, [5], 4, [0.017653230553549004], ['linear'], 0.9963140001852719]
13,0.20915032679738566,0.20915032679738566,236,[0.41305758567881556, [6], 4, [0.0973196712108394], ['leaky_relu'], 0.9963140001852719]
14,0.21615222898439423,0.21615222898439423,95,[0.37244678358979766, [8], 4, [0.45598593937253057], ['linear'], 0.9965833197670677]
15,0.2030520938944309,0.2030520938944309,57,[0.37244678358979766, [8], 4, [0.10768426402300585], ['linear'], 0.9965833197670677]
16,0.20503695284608658,0.20503695284608658,346,[0.37244678358979766, [8], 4, [0.1462314921733318], ['leaky_relu'], 0.9963140001852719]
17,0.19667219344709697,0.19667219344709697,183,[0.3170715084556977, [8], 256, [0.25071935766667286], ['leaky_relu'], 0.9963140001852719]
18,0.2001606834402324,0.2001606834402324,158,[0.6146713563537333, [7], 8, [0.45598593937253057], ['linear'], 0.9965833197670677]
19,0.19403756232400748,0.19403756232400748,62,[0.5957905473089825, [5], 4, [0.25327128979668434], ['linear'], 0.9965833197670677]

EVOLUTION ENDED

Optimal genes: [0.5957905473089825, [5], 4, [0.25327128979668434], ['linear'], 0.9965833197670677]           
Optimal fitness: 0.19403756232400748                 
