PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
0,0.000985828461125493,0.000985828461125493,21,[0.030302752200694383, [6, 6, 7, 3, 3, 6], 64, [0.030473076991141684, 0.04216380293701322, 0.015788059520988607, 0.020894732119602827, 0.025842614928059587, 0.03077792809252089], ['leaky_relu', 'relu', 'linear', 'leaky_relu', 'leaky_relu', 'softplus'], 0.9143913993676009]
1,0.001031065359711647,0.001031065359711647,1,[0.11393000499980505, [2, 7, 7, 3, 4], 64, [0.027339314613258055, 0.04731945122930607, 0.03551678780533106, 0.02778370129192896, 0.019834133960755458], ['relu', 'linear', 'softplus', 'softplus', 'linear'], 0.9143913993676009]
2,0.000582595297601074,0.000582595297601074,10,[0.11393000499980505, [6, 6, 7, 3, 3, 6], 128, [0.030473076991141684, 0.04216380293701322, 0.015788059520988607, 0.020894732119602827, 0.025842614928059587, 0.03077792809252089], ['leaky_relu', 'relu', 'linear', 'leaky_relu', 'leaky_relu', 'softplus'], 0.904977170500008]
3,0.0006954244454391301,0.0006954244454391301,26,[0.030302752200694383, [6, 6, 7, 3, 3, 6], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['linear', 'leaky_relu', 'linear', 'softplus', 'softplus', 'linear'], 0.9759223634721887]
4,0.0005894388305023313,0.0005894388305023313,89,[0.030302752200694383, [6, 6, 7, 3, 3, 6], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'leaky_relu', 'linear'], 0.9672713083101582]
5,0.0007216196390800178,0.0007216196390800178,6,[0.030302752200694383, [6, 6, 7, 3, 3, 6], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'leaky_relu', 'linear'], 0.9672713083101582]
6,0.0006324387504719198,0.0006324387504719198,284,[0.030302752200694383, [6, 2, 6, 7, 4, 2], 8, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['linear', 'leaky_relu', 'linear', 'softplus', 'softplus', 'linear'], 0.9764399362516653]
7,0.0006973831914365292,0.0006973831914365292,9,[0.11393000499980505, [2, 7, 7, 3, 4], 32, [0.002115484144807256, 0.004843324796884158, 0.04459326486408267, 0.010672095284315697, 0.023648872227405235], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.9672713083101582]
8,0.0007923657540231943,0.0007923657540231943,9,[0.030302752200694383, [6, 6, 7, 3, 3, 6], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['linear', 'leaky_relu', 'linear', 'softplus', 'softplus', 'linear'], 0.9855521246960643]
9,0.0006438103155232966,0.0006438103155232966,139,[0.030302752200694383, [7, 5, 4, 3, 7, 7], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.9672713083101582]
10,0.0007435196312144399,0.0007435196312144399,124,[0.030302752200694383, [7, 5, 4, 3, 7, 7], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.9672713083101582]
11,0.0006138614262454212,0.0006138614262454212,188,[0.030302752200694383, [6, 6, 7, 3, 3, 6], 64, [0.027669150708895238, 0.005766840834419202, 0.018704460498860338, 0.02974596209812957, 0.048405493339041185, 0.00503366193675443], ['linear', 'leaky_relu', 'softplus', 'softplus', 'relu', 'relu'], 0.9855521246960643]
12,0.0006614584126509726,0.0006614584126509726,57,[0.030302752200694383, [7, 5, 4, 3, 7, 7], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.9469503780778301]
13,0.0005780467763543129,0.0005780467763543129,20,[0.030302752200694383, [7, 6, 6, 4, 3, 6], 64, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.9469503780778301]
14,0.0005367777193896472,0.0005367777193896472,113,[0.030302752200694383, [7, 6, 7, 3, 6, 5], 32, [0.02446188334252757, 0.017245446148084532, 0.030780093529075615, 0.032297220467476496, 0.03139159299034951, 0.028086411880535834], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'leaky_relu', 'linear'], 0.9973777806369538]
15,0.0005820547230541706,0.0005820547230541706,163,[0.030302752200694383, [5, 5, 7, 6, 5, 2], 32, [0.007499983794187976, 0.04912890229362286, 0.03242633311332999, 0.04684631275392237, 0.015292390618763307, 0.0013879492820521645], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'], 0.9889507874482414]
16,0.0006254864856600761,0.0006254864856600761,277,[0.030302752200694383, [5, 5, 7, 6, 5, 2], 32, [0.02688635912147749, 0.04594345825182253, 0.011506194383306346, 0.024878550466203943, 0.007646622793239216, 0.04810928972754919], ['leaky_relu', 'softplus', 'softplus', 'relu', 'relu', 'softplus'], 0.9889507874482414]
17,0.0005548204062506557,0.0005548204062506557,161,[0.030302752200694383, [5, 5, 7, 6, 5, 2], 64, [0.04492492515399574, 0.005660213248049906, 0.0017109866161682974, 0.003339232281123189, 0.009660604546478314, 0.04441561110583023], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'leaky_relu', 'linear'], 0.9996318770489183]
18,0.0006086842622607946,0.0006086842622607946,171,[0.030302752200694383, [5, 5, 7, 6, 5, 2], 64, [0.04492492515399574, 0.005660213248049906, 0.0017109866161682974, 0.003339232281123189, 0.009660604546478314, 0.04441561110583023], ['leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'leaky_relu', 'linear'], 0.9996318770489183]
